CMDLINE C:\Users\lenovo\Anaconda3\python.exe revdet_profiling.py
MEM 130.687500 1563633898.6535
MEM 130.687500 1563633898.7543
MEM 130.792969 1563633898.8550
MEM 130.792969 1563633898.9557
MEM 130.792969 1563633899.0565
MEM 130.796875 1563633899.1572
MEM 130.796875 1563633899.2579
MEM 130.796875 1563633899.3586
MEM 130.796875 1563633899.4593
MEM 130.796875 1563633899.5601
MEM 130.796875 1563633899.6608
MEM 130.796875 1563633899.7615
MEM 130.796875 1563633899.8622
MEM 130.796875 1563633899.9630
MEM 130.796875 1563633900.0637
MEM 130.796875 1563633900.1644
MEM 130.796875 1563633900.2651
MEM 130.796875 1563633900.3659
MEM 130.796875 1563633900.4666
MEM 130.796875 1563633900.5674
MEM 130.796875 1563633900.6675
MEM 130.796875 1563633900.7683
MEM 130.796875 1563633900.8690
MEM 130.796875 1563633900.9697
MEM 130.796875 1563633901.0705
MEM 130.796875 1563633901.1712
MEM 130.796875 1563633901.2719
MEM 130.796875 1563633901.3726
MEM 130.796875 1563633901.4734
MEM 130.796875 1563633901.5741
MEM 130.796875 1563633901.6748
MEM 130.796875 1563633901.7756
MEM 130.796875 1563633901.8763
MEM 130.804688 1563633901.9770
MEM 130.804688 1563633902.0778
MEM 130.804688 1563633902.1785
MEM 130.804688 1563633902.2792
MEM 130.804688 1563633902.3800
MEM 130.804688 1563633902.4807
MEM 130.804688 1563633902.5814
MEM 130.804688 1563633902.6822
MEM 130.804688 1563633902.7829
MEM 130.804688 1563633902.8836
MEM 130.804688 1563633902.9843
MEM 130.804688 1563633903.0851
MEM 130.804688 1563633903.1859
MEM 130.804688 1563633903.2866
MEM 130.804688 1563633903.3873
MEM 130.808594 1563633903.4881
MEM 130.808594 1563633903.5888
MEM 130.808594 1563633903.6895
MEM 130.808594 1563633903.7902
MEM 130.808594 1563633903.8909
MEM 130.808594 1563633903.9919
MEM 130.808594 1563633904.0927
MEM 130.808594 1563633904.1934
MEM 130.808594 1563633904.2942
MEM 130.808594 1563633904.3949
MEM 130.960938 1563633904.4956
MEM 130.960938 1563633904.5964
MEM 130.960938 1563633904.6971
MEM 130.960938 1563633904.7978
MEM 130.964844 1563633904.8985
MEM 130.964844 1563633904.9992
MEM 130.964844 1563633905.1000
MEM 130.964844 1563633905.2007
MEM 130.964844 1563633905.3015
MEM 130.964844 1563633905.4022
MEM 130.964844 1563633905.5029
MEM 130.964844 1563633905.6037
MEM 130.964844 1563633905.7044
MEM 130.964844 1563633905.8051
MEM 130.964844 1563633905.9058
MEM 130.964844 1563633906.0066
MEM 130.964844 1563633906.1073
