CMDLINE C:\Users\lenovo\Anaconda3\python.exe in_memory_clustering.py
MEM 143.386719 1563633541.3359
MEM 144.195312 1563633541.4367
MEM 145.351562 1563633541.5374
MEM 145.394531 1563633541.6381
MEM 145.468750 1563633541.7389
MEM 145.527344 1563633541.8396
MEM 145.527344 1563633541.9403
MEM 145.589844 1563633542.0411
MEM 145.597656 1563633542.1418
MEM 145.632812 1563633542.2425
MEM 145.710938 1563633542.3433
MEM 145.773438 1563633542.4440
MEM 145.773438 1563633542.5447
MEM 145.832031 1563633542.6455
MEM 145.832031 1563633542.7462
MEM 145.875000 1563633542.8469
MEM 145.957031 1563633542.9476
MEM 146.203125 1563633543.0484
MEM 146.265625 1563633543.1491
MEM 146.328125 1563633543.2498
MEM 146.328125 1563633543.3506
MEM 146.621094 1563633543.4513
MEM 146.707031 1563633543.5520
MEM 146.707031 1563633543.6527
MEM 147.023438 1563633543.7535
MEM 147.093750 1563633543.8542
MEM 147.093750 1563633543.9549
MEM 147.125000 1563633544.0557
MEM 147.472656 1563633544.1564
MEM 147.472656 1563633544.2571
MEM 147.535156 1563633544.3578
MEM 147.542969 1563633544.4586
MEM 147.835938 1563633544.5593
MEM 147.875000 1563633544.6601
MEM 147.976562 1563633544.7608
MEM 147.976562 1563633544.8615
MEM 148.292969 1563633544.9623
MEM 148.292969 1563633545.0630
MEM 148.355469 1563633545.1637
MEM 148.375000 1563633545.2644
MEM 148.667969 1563633545.3652
MEM 151.566406 1563633545.4659
MEM 151.566406 1563633545.5666
MEM 151.566406 1563633545.6674
MEM 151.566406 1563633545.7681
MEM 151.566406 1563633545.8688
MEM 151.566406 1563633545.9696
MEM 151.566406 1563633546.0702
MEM 151.566406 1563633546.1710
MEM 151.621094 1563633546.2717
MEM 151.621094 1563633546.3724
MEM 151.628906 1563633546.4732
MEM 233.089844 1563633546.5739
MEM 252.429688 1563633546.6747
MEM 273.109375 1563633546.7754
MEM 273.390625 1563633546.8761
MEM 273.390625 1563633546.9769
MEM 279.359375 1563633547.0775
MEM 289.546875 1563633547.1783
MEM 299.632812 1563633547.2790
MEM 303.312500 1563633547.3797
MEM 309.320312 1563633547.4805
MEM 315.617188 1563633547.5812
MEM 319.742188 1563633547.6819
MEM 324.000000 1563633547.7827
MEM 331.035156 1563633547.8834
MEM 340.535156 1563633547.9841
MEM 342.335938 1563633548.0849
MEM 346.804688 1563633548.1856
MEM 351.148438 1563633548.2863
MEM 357.769531 1563633548.3870
MEM 362.007812 1563633548.4878
MEM 366.074219 1563633548.5885
MEM 371.078125 1563633548.6892
MEM 374.484375 1563633548.7900
MEM 379.410156 1563633548.8907
MEM 383.375000 1563633548.9914
MEM 389.160156 1563633549.0922
MEM 392.398438 1563633549.1929
MEM 396.089844 1563633549.2936
MEM 398.925781 1563633549.3943
MEM 403.105469 1563633549.4951
MEM 408.414062 1563633549.5958
MEM 414.023438 1563633549.6965
MEM 414.781250 1563633549.7973
MEM 421.250000 1563633549.8980
MEM 423.953125 1563633549.9987
MEM 431.253906 1563633550.0995
MEM 434.777344 1563633550.2002
MEM 438.820312 1563633550.3009
MEM 443.632812 1563633550.4017
MEM 448.035156 1563633550.5024
MEM 453.480469 1563633550.6031
MEM 456.300781 1563633550.7038
MEM 460.679688 1563633550.8046
MEM 467.562500 1563633550.9053
MEM 471.960938 1563633551.0060
MEM 478.484375 1563633551.1068
MEM 481.453125 1563633551.2075
MEM 485.222656 1563633551.3082
MEM 489.671875 1563633551.4090
MEM 495.785156 1563633551.5097
MEM 497.402344 1563633551.6104
MEM 504.593750 1563633551.7111
MEM 506.929688 1563633551.8119
MEM 510.433594 1563633551.9126
MEM 515.910156 1563633552.0133
MEM 519.304688 1563633552.1141
MEM 503.894531 1563633552.2148
MEM 509.390625 1563633552.3155
MEM 513.464844 1563633552.4163
MEM 520.199219 1563633552.5170
MEM 523.042969 1563633552.6177
MEM 528.125000 1563633552.7185
MEM 533.257812 1563633552.8192
MEM 537.652344 1563633552.9199
MEM 542.265625 1563633553.0206
MEM 547.343750 1563633553.1214
MEM 550.894531 1563633553.2221
MEM 555.351562 1563633553.3228
MEM 558.582031 1563633553.4236
MEM 564.570312 1563633553.5243
MEM 567.175781 1563633553.6250
MEM 570.207031 1563633553.7258
MEM 576.996094 1563633553.8265
MEM 578.667969 1563633553.9272
MEM 582.972656 1563633554.0279
MEM 589.109375 1563633554.1287
MEM 592.246094 1563633554.2294
MEM 596.953125 1563633554.3301
MEM 599.566406 1563633554.4309
MEM 605.429688 1563633554.5316
MEM 609.769531 1563633554.6323
MEM 614.179688 1563633554.7331
MEM 619.667969 1563633554.8338
MEM 621.535156 1563633554.9345
MEM 625.917969 1563633555.0353
MEM 629.207031 1563633555.1360
MEM 634.085938 1563633555.2367
MEM 639.035156 1563633555.3374
MEM 641.285156 1563633555.4382
MEM 645.492188 1563633555.5389
MEM 650.472656 1563633555.6396
MEM 655.914062 1563633555.7404
MEM 659.210938 1563633555.8411
MEM 664.406250 1563633555.9418
MEM 667.816406 1563633556.0426
MEM 671.308594 1563633556.1433
MEM 688.851562 1563633556.2440
MEM 801.761719 1563633556.3447
MEM 838.699219 1563633556.4455
MEM 873.718750 1563633556.5462
MEM 908.679688 1563633556.6470
MEM 943.257812 1563633556.7477
MEM 989.621094 1563633556.8484
MEM 1046.406250 1563633556.9492
MEM 837.375000 1563633557.0499
MEM 817.878906 1563633557.1506
MEM 818.019531 1563633557.2514
MEM 818.144531 1563633557.3521
MEM 818.269531 1563633557.4528
MEM 818.402344 1563633557.5536
MEM 818.527344 1563633557.6543
MEM 818.652344 1563633557.7550
MEM 818.777344 1563633557.8557
MEM 818.902344 1563633557.9565
MEM 819.054688 1563633558.0572
MEM 819.062500 1563633558.1575
MEM 819.066406 1563633558.2575
MEM 819.074219 1563633558.3581
MEM 819.074219 1563633558.4589
MEM 819.078125 1563633558.5596
MEM 819.078125 1563633558.6603
MEM 819.078125 1563633558.7610
MEM 819.078125 1563633558.8618
MEM 819.078125 1563633558.9625
MEM 819.078125 1563633559.0633
MEM 819.078125 1563633559.1640
MEM 819.078125 1563633559.2647
MEM 819.078125 1563633559.3654
MEM 819.078125 1563633559.4662
MEM 819.078125 1563633559.5669
MEM 819.082031 1563633559.6677
MEM 819.085938 1563633559.7685
MEM 819.085938 1563633559.8691
MEM 819.085938 1563633559.9699
MEM 819.085938 1563633560.0701
MEM 819.085938 1563633560.1705
MEM 819.085938 1563633560.2712
MEM 819.085938 1563633560.3719
MEM 819.085938 1563633560.4727
MEM 819.085938 1563633560.5734
MEM 819.085938 1563633560.6742
MEM 819.085938 1563633560.7749
MEM 819.085938 1563633560.8758
MEM 819.085938 1563633560.9759
MEM 819.085938 1563633561.0767
MEM 819.085938 1563633561.1774
MEM 819.085938 1563633561.2779
MEM 819.085938 1563633561.3782
MEM 819.085938 1563633561.4789
MEM 819.085938 1563633561.5795
MEM 819.085938 1563633561.6803
MEM 819.085938 1563633561.7810
MEM 819.085938 1563633561.8818
MEM 819.085938 1563633561.9818
MEM 819.085938 1563633562.0825
MEM 819.085938 1563633562.1832
MEM 819.085938 1563633562.2840
MEM 819.085938 1563633562.3847
MEM 819.085938 1563633562.4855
MEM 819.085938 1563633562.5861
MEM 819.085938 1563633562.6869
MEM 819.085938 1563633562.7876
MEM 819.085938 1563633562.8883
MEM 819.085938 1563633562.9890
MEM 819.085938 1563633563.0895
MEM 819.085938 1563633563.1902
MEM 819.085938 1563633563.2907
MEM 819.085938 1563633563.3911
MEM 819.085938 1563633563.4916
MEM 819.085938 1563633563.5916
MEM 819.085938 1563633563.6924
MEM 819.085938 1563633563.7933
MEM 819.085938 1563633563.8940
MEM 819.085938 1563633563.9948
MEM 819.085938 1563633564.0955
MEM 819.085938 1563633564.1963
MEM 819.085938 1563633564.2964
MEM 819.085938 1563633564.3971
MEM 819.085938 1563633564.4979
MEM 819.085938 1563633564.5980
MEM 819.085938 1563633564.6983
MEM 819.085938 1563633564.7988
MEM 819.085938 1563633564.8996
MEM 819.085938 1563633565.0003
MEM 819.085938 1563633565.1011
MEM 819.085938 1563633565.2018
MEM 819.085938 1563633565.3025
MEM 819.085938 1563633565.4035
MEM 819.085938 1563633565.5039
MEM 819.085938 1563633565.6044
MEM 819.085938 1563633565.7046
MEM 819.085938 1563633565.8053
MEM 819.085938 1563633565.9059
MEM 819.085938 1563633566.0067
MEM 819.085938 1563633566.1075
MEM 819.085938 1563633566.2084
MEM 819.085938 1563633566.3091
MEM 819.085938 1563633566.4098
MEM 819.085938 1563633566.5106
MEM 819.085938 1563633566.6113
MEM 819.085938 1563633566.7120
MEM 819.085938 1563633566.8128
MEM 819.085938 1563633566.9135
MEM 819.085938 1563633567.0142
MEM 819.085938 1563633567.1150
MEM 819.085938 1563633567.2157
MEM 819.085938 1563633567.3158
MEM 819.085938 1563633567.4166
MEM 819.085938 1563633567.5173
MEM 819.085938 1563633567.6180
MEM 819.085938 1563633567.7188
MEM 819.085938 1563633567.8195
MEM 819.085938 1563633567.9202
MEM 819.085938 1563633568.0210
MEM 819.085938 1563633568.1217
MEM 819.085938 1563633568.2224
MEM 819.085938 1563633568.3231
MEM 819.085938 1563633568.4238
MEM 819.089844 1563633568.5246
MEM 819.089844 1563633568.6248
MEM 819.089844 1563633568.7248
MEM 819.089844 1563633568.8255
MEM 819.089844 1563633568.9262
MEM 819.089844 1563633569.0266
MEM 819.089844 1563633569.1274
MEM 819.089844 1563633569.2281
MEM 819.089844 1563633569.3288
MEM 819.089844 1563633569.4295
MEM 819.089844 1563633569.5302
MEM 819.089844 1563633569.6310
MEM 819.089844 1563633569.7317
MEM 819.089844 1563633569.8325
MEM 819.089844 1563633569.9332
MEM 819.089844 1563633570.0339
MEM 819.089844 1563633570.1347
MEM 819.089844 1563633570.2354
MEM 819.089844 1563633570.3362
MEM 819.089844 1563633570.4368
MEM 819.089844 1563633570.5376
MEM 819.089844 1563633570.6386
MEM 819.089844 1563633570.7390
MEM 819.089844 1563633570.8397
MEM 819.089844 1563633570.9405
MEM 819.089844 1563633571.0412
MEM 819.089844 1563633571.1420
MEM 819.089844 1563633571.2427
MEM 819.089844 1563633571.3434
MEM 819.089844 1563633571.4441
MEM 819.089844 1563633571.5449
MEM 819.089844 1563633571.6456
MEM 819.089844 1563633571.7464
MEM 819.089844 1563633571.8471
MEM 819.089844 1563633571.9478
MEM 819.089844 1563633572.0485
MEM 819.089844 1563633572.1493
MEM 819.089844 1563633572.2498
MEM 819.097656 1563633572.3504
MEM 819.097656 1563633572.4512
MEM 819.097656 1563633572.5519
MEM 819.097656 1563633572.6526
MEM 819.097656 1563633572.7534
MEM 819.097656 1563633572.8541
MEM 819.097656 1563633572.9548
MEM 819.097656 1563633573.0556
MEM 819.097656 1563633573.1563
MEM 819.097656 1563633573.2570
MEM 819.097656 1563633573.3578
MEM 819.097656 1563633573.4585
MEM 819.121094 1563633573.5592
MEM 819.121094 1563633573.6599
MEM 819.121094 1563633573.7607
MEM 819.121094 1563633573.8614
MEM 819.121094 1563633573.9621
MEM 819.121094 1563633574.0628
MEM 819.121094 1563633574.1636
MEM 819.121094 1563633574.2643
MEM 819.121094 1563633574.3651
MEM 819.121094 1563633574.4658
MEM 819.121094 1563633574.5665
MEM 819.121094 1563633574.6672
MEM 819.121094 1563633574.7680
MEM 819.121094 1563633574.8687
MEM 819.121094 1563633574.9694
MEM 819.121094 1563633575.0702
MEM 819.121094 1563633575.1706
MEM 819.121094 1563633575.2707
MEM 819.121094 1563633575.3714
MEM 819.121094 1563633575.4719
MEM 819.121094 1563633575.5727
MEM 819.121094 1563633575.6734
MEM 819.121094 1563633575.7742
MEM 819.121094 1563633575.8749
MEM 819.121094 1563633575.9756
MEM 819.121094 1563633576.0763
MEM 819.121094 1563633576.1771
MEM 819.121094 1563633576.2778
MEM 819.121094 1563633576.3785
MEM 819.121094 1563633576.4792
MEM 819.121094 1563633576.5799
MEM 819.121094 1563633576.6801
MEM 819.121094 1563633576.7804
MEM 819.125000 1563633576.8811
MEM 819.125000 1563633576.9818
MEM 819.125000 1563633577.0825
MEM 819.125000 1563633577.1833
MEM 819.125000 1563633577.2840
MEM 819.125000 1563633577.3847
MEM 819.125000 1563633577.4851
MEM 819.125000 1563633577.5860
MEM 819.125000 1563633577.6864
MEM 819.125000 1563633577.7869
MEM 819.125000 1563633577.8874
MEM 819.125000 1563633577.9880
MEM 819.125000 1563633578.0888
MEM 819.125000 1563633578.1895
MEM 819.125000 1563633578.2900
MEM 819.125000 1563633578.3908
MEM 819.125000 1563633578.4915
MEM 819.125000 1563633578.5916
MEM 819.125000 1563633578.6916
MEM 819.125000 1563633578.7924
MEM 819.125000 1563633578.8927
MEM 819.125000 1563633578.9934
MEM 819.125000 1563633579.0941
MEM 819.125000 1563633579.1948
MEM 819.125000 1563633579.2956
MEM 819.125000 1563633579.3963
MEM 819.125000 1563633579.4972
MEM 819.125000 1563633579.5976
MEM 819.125000 1563633579.6977
MEM 819.125000 1563633579.7984
MEM 819.125000 1563633579.8992
MEM 819.125000 1563633579.9993
MEM 819.125000 1563633580.0998
MEM 819.125000 1563633580.2002
MEM 819.125000 1563633580.3003
MEM 819.125000 1563633580.4005
MEM 819.125000 1563633580.5009
MEM 819.125000 1563633580.6019
MEM 819.125000 1563633580.7024
MEM 819.125000 1563633580.8031
MEM 819.125000 1563633580.9039
MEM 819.125000 1563633581.0046
MEM 819.125000 1563633581.1053
MEM 819.125000 1563633581.2060
MEM 819.125000 1563633581.3067
MEM 819.125000 1563633581.4070
MEM 819.125000 1563633581.5077
MEM 819.125000 1563633581.6084
MEM 819.125000 1563633581.7092
MEM 819.125000 1563633581.8100
MEM 819.125000 1563633581.9107
MEM 819.125000 1563633582.0114
MEM 819.125000 1563633582.1121
MEM 819.125000 1563633582.2128
MEM 819.125000 1563633582.3136
MEM 819.125000 1563633582.4143
MEM 819.125000 1563633582.5151
MEM 819.125000 1563633582.6151
MEM 819.125000 1563633582.7159
MEM 819.125000 1563633582.8166
MEM 819.125000 1563633582.9173
MEM 819.125000 1563633583.0182
MEM 819.125000 1563633583.1189
MEM 819.125000 1563633583.2196
MEM 819.125000 1563633583.3203
MEM 819.125000 1563633583.4211
MEM 819.125000 1563633583.5220
MEM 819.125000 1563633583.6227
MEM 819.125000 1563633583.7234
MEM 819.125000 1563633583.8241
MEM 819.125000 1563633583.9249
MEM 819.125000 1563633584.0256
MEM 819.125000 1563633584.1264
MEM 819.125000 1563633584.2268
MEM 819.125000 1563633584.3275
MEM 819.125000 1563633584.4279
MEM 819.125000 1563633584.5284
MEM 819.125000 1563633584.6288
MEM 819.125000 1563633584.7296
MEM 819.125000 1563633584.8302
MEM 819.125000 1563633584.9309
MEM 819.125000 1563633585.0317
MEM 819.125000 1563633585.1324
MEM 819.125000 1563633585.2331
MEM 819.125000 1563633585.3338
MEM 819.125000 1563633585.4346
MEM 819.125000 1563633585.5354
MEM 819.125000 1563633585.6354
MEM 819.125000 1563633585.7357
MEM 819.125000 1563633585.8365
MEM 819.125000 1563633585.9372
MEM 819.125000 1563633586.0375
MEM 819.125000 1563633586.1380
MEM 819.125000 1563633586.2385
MEM 819.125000 1563633586.3387
MEM 819.125000 1563633586.4392
MEM 819.125000 1563633586.5395
MEM 819.125000 1563633586.6403
MEM 819.125000 1563633586.7410
MEM 819.125000 1563633586.8417
MEM 819.125000 1563633586.9425
MEM 819.125000 1563633587.0432
MEM 819.125000 1563633587.1436
MEM 819.125000 1563633587.2444
MEM 819.125000 1563633587.3451
MEM 819.125000 1563633587.4458
MEM 819.125000 1563633587.5465
MEM 819.125000 1563633587.6473
MEM 819.125000 1563633587.7480
MEM 819.125000 1563633587.8481
MEM 819.125000 1563633587.9488
MEM 819.125000 1563633588.0495
MEM 819.125000 1563633588.1505
MEM 819.125000 1563633588.2512
MEM 819.125000 1563633588.3520
MEM 819.125000 1563633588.4527
MEM 819.125000 1563633588.5534
MEM 819.125000 1563633588.6541
MEM 819.125000 1563633588.7548
MEM 819.125000 1563633588.8555
MEM 819.125000 1563633588.9563
MEM 819.125000 1563633589.0570
MEM 819.125000 1563633589.1577
MEM 819.125000 1563633589.2581
MEM 819.125000 1563633589.3589
MEM 819.125000 1563633589.4598
MEM 819.125000 1563633589.5605
MEM 819.125000 1563633589.6613
MEM 819.125000 1563633589.7618
MEM 819.125000 1563633589.8625
MEM 819.125000 1563633589.9632
MEM 819.128906 1563633590.0640
MEM 819.128906 1563633590.1647
MEM 819.128906 1563633590.2655
MEM 819.128906 1563633590.3661
MEM 819.128906 1563633590.4669
